SBD,Toán,Văn,Sử,Địa,Lí,Sinh,Anh,GDCD,Hóa
2068443,6.8,6.5,,,6,5.5,7,,5.25,
2067191,5.2,5.5,5.25,7,,,3.6,7.75,,
2067563,6.4,7.5,8.5,7.5,,,6.8,9,,
2068068,8.2,7.25,7,8,,,8.4,8.75,,
2068631,8,6,,,8.25,5.75,7.8,,7.5,
2069006,8,7,,,6.25,3.75,6,,5.25,
2068507,8,6.75,,,6.25,4.75,5.8,,7.25,
2067814,8,8.5,,,,,8.8,,,
2067442,7,5.75,,,4.75,4,,,5.5,
2067690,7.6,7,,,7.75,7,7.2,,8,
2068192,7.6,7.25,,,6.25,5,8,,6.25,
2067943,7,6.5,,,5.25,5.75,,,5.25,
2067128,8.4,7.25,,,7.25,4.75,7,,7,
2067627,4.4,6.25,4.75,5.75,,,,,,
2067315,7.6,7.5,8,8,,,7,9.5,,
2067192,6.6,7.75,7.75,7.25,,,5.6,8,,
2067504,7.2,6,6,7,,,,,,
2068882,7.8,6.75,,,4.75,4.75,8,,3.75,
2067375,4.2,6.25,5.25,6.75,,,,,,
2068758,6,8,7.25,7.5,,,6.8,7.5,,
2068318,6.6,6,,,5.5,4.5,4.2,,5.25,
2067252,5.8,7,,,5.75,3,5.4,,2.5,
2068569,5.2,5,5.5,6.5,,,,,,
2067564,5.8,5.25,6.5,5.25,,,5.2,8.5,,
2067880,8.8,5.25,,,,,9.6,,,
2067068,7.4,6,5.75,7.5,,,8.6,8.75,,
2068131,8.2,6.75,,,7.25,5.5,7.6,,8,
2068695,8,7.25,4.75,5.25,,,6,8.5,,
2068253,5.8,6,4.75,5,,,3.4,6.5,,
2068444,8.2,6,,,7.75,3.75,7.8,,5,
2068069,6.8,7,,,5,4.5,3.8,,7.25,
2068820,4.4,5.5,,,4.75,4.75,3.8,,5,
2068003,6.6,7,7.25,6.5,,,4.8,9,,
2068942,7.8,7.25,,,6,5.25,4.8,,5.75,
2067752,5.6,5,3.5,6.25,,,5,6.75,,
2068379,5.8,5.5,,,4,5.75,9.2,,6.5,
2068632,7.8,5.75,,,6.5,4.75,7.8,,7,
2069007,3.8,6.25,5.75,6.5,,,4.8,8.5,,
2067443,7.4,7,,,,,7.6,,,
2067691,7.8,6,7.5,7,,,7,9.25,,
2067815,6.6,7,,,7,5.5,5.6,,5.5,
2068193,7.6,5.5,,,6.25,3.25,3.4,,7,
2067944,5.4,5.5,,,3.5,4,,,4.25,
2067628,5.4,7,,,4.25,4.75,7.4,,3.75,
2067129,8,7.75,,,6.5,5.25,5,,4.25,
2068508,7.4,4.75,,,5.75,5,6.2,,6,
2068883,7.6,,,,6.25,,,,7,
2068759,7.6,6.75,7.25,5.75,,,8,9.5,,
2068570,5.4,4.5,,,,,4.4,7.75,,
2067316,5.8,5.5,6.75,5.75,,,,,,
2067069,8.2,6.5,,,5.5,4,2.8,,4.75,
2067816,6.4,6,7.75,7.25,,,,,,
2068132,7,6,,,7.5,3.5,7.6,,6.75,
2068254,8.2,5,,,,,7.4,,8,
2069008,8.8,,,,,8.75,,,9.25,
2067881,2.2,3.75,4.25,4.25,,,,,,
2068696,3,,,,3.25,,,,5.25,
2068070,6.4,5.75,,,4.75,5,,,4,
2068445,7.4,,,,7.5,,8.6,,,
2068821,7.2,6,,,5.75,4.25,,,4.25,
2068319,7.4,7.25,,,5.5,5.25,6.4,,6.5,
2067565,7,5.75,,,5,5,7,,4.5,
2068633,7.4,5.75,,,8.25,5.25,2.4,,7.5,
2067753,6.4,7.25,8.5,8,,,,,,
2067505,5.4,5.5,,,4.25,4.25,4.4,,6,
2067193,8.2,7.75,9.25,7.5,,,4.2,7.5,,
2068004,8,7,7.75,7.5,,,6.8,7.5,,
2067444,8.2,6.75,8,7.25,,,7,9.25,,
2067376,8.2,6.75,,,7.75,5.5,9.2,,8.25,
2068380,8.2,6,,,5.25,5.5,7,,5,
2067253,9.4,7.75,,,7.5,7.25,7.6,,8.5,
2068943,7.8,6.75,,,4.5,6,5.4,,8,
2067692,4.8,7,,,4.5,2.75,4.8,,4.25,
2067945,7.4,,,,,7.25,,,8.25,
2068194,6.2,7,,,4.75,5.5,4,,2.75,
2067629,8.4,7,,,7.75,7.25,7.2,,8.25,
2067130,5,7,,,6.25,4.25,4.4,,4.5,
2068509,7.6,6.5,,,8.5,5,8.4,,7,
2068884,5.6,5.25,,,3.75,5.75,6,,4.25,
2068760,7.2,7.5,8,6.25,,,6.8,8.5,,
2067817,7.8,7.75,7,6.5,,,,,,
2068071,5.6,5.75,4.75,6.75,,,6.8,9,,
2068697,7.2,7,4.5,6,,,6.8,9.25,,
2067693,7.8,,,,1.75,8.25,,,8.5,
2067377,5.8,8,5.75,6.25,,,4,7.75,,
2067566,6.6,7.5,7.25,7.25,,,6.2,8.75,,
2067630,7.8,7,,,7,6.25,5.4,,7,
2068571,5.2,6.67,5.75,7.25,,,,,,
2069009,8.4,6,,,7.5,4.5,4.2,,6.75,
2068381,6.4,6.25,8,5.25,,,,,,
2068634,8,6.5,,,6,4.5,6.2,,5.75,
2067317,6.2,7.25,,,,,7.6,,,
2067070,6.4,6,,,6.25,3.75,6,,6.5,
2067254,7.6,6.75,6.25,6.75,,,7.8,8,,
2068446,7.6,5.75,,,6.25,4.5,7.2,,7.25,
2068133,7.8,6.42,5.5,6.75,,,5.2,8.5,,
2067131,8.6,6,,,6.25,5.25,8.2,,6.5,
2068320,7.8,5.25,,,6,3.5,6.4,,6,
2068005,5.6,6.25,,,5,4,2.8,,4.25,
2068255,7.8,8,8.75,6.5,,,8.6,9.25,,
2067946,6.2,4.5,,,5.25,6,,,3.75,
2068195,7.6,8.5,,,7,4.5,9,,8.25,
2068510,6.2,7.75,,,4,5.25,4.2,,5,
2067194,7,7,7.75,6.75,,,5.4,7.5,,
2067882,7.8,5.25,,,,,6,,,
2067754,7.8,6.5,,,6.5,4.5,4.2,,6.75,
2068822,8.2,6.25,6.75,6.25,,,3.8,8.25,,
2068944,8.4,7.25,,,6.75,6.75,6.2,,7.5,
2068885,8.6,4.75,,,5.5,3.75,8.4,,6.25,
2068761,8.4,7,,,7,6,,,6.5,
2067445,5.4,6.75,5,7,,,,,,
2067506,6.2,5.25,6.75,7,,,,,,
2067818,7.2,6.75,,,7.5,5.25,5.6,,7.5,
2068072,7.8,4.25,,,7,3.75,7.4,,5.75,
2067947,8.2,,,,3.5,7.75,,,8.5,
2068698,7.6,5.5,7.5,7.75,,,4.8,7,,
2067378,6.2,6.25,,,3.25,3,5.4,,4.25,
2067567,7.8,5.5,,,6,4.25,7,,6.5,
2067071,5,7,,,6,3,5.2,,5.5,
2067507,,,,,,,,,,
2067631,6.8,6,4.25,7.25,,,3,7.25,,
2068572,5.4,5.75,6.5,5.75,,,,,,
2068382,4.6,4.25,,,2.75,3.75,1.2,,3.25,
2068635,7.4,6,,,8.25,7.25,7.6,,8,
2068256,7.2,6.5,5.5,7.75,,,,,,
2068447,7.2,4.25,,,7,5,9.6,,5.75,
2068886,5.6,4.5,,,3.25,3.75,,,2.5,
2068511,7.6,7.25,,,6.25,5.25,8.2,,6.25,
2067132,8.4,6.25,,,5.75,8,4.4,,8,
2067446,7.2,5.67,6.5,7,,,8,8,,
2068321,6,5.75,,,5.25,4,6.6,,4.75,
2067883,5,5.75,7,5.75,,,,,,
2067694,6,7,6.75,5.25,,,4,8,,
2068823,8.4,3.75,,,5.5,4.25,3.4,,7.75,
2068006,7.6,6.5,,,4,7.5,7.2,,7.75,
2069010,7.2,6.75,,,5.75,4.5,5.6,,3.25,
2068945,7,8.25,7.25,7,,,7.6,7.5,,
2068196,6.8,6,,,5,5.25,4.8,,6.5,
2067755,6,6,6.25,7.5,,,2,7.5,,
2068762,3.4,6,6.75,5.5,,,4.2,9.25,,
2068134,7,5.5,,,4.25,6,9,,5,
2067195,4.8,7.5,8,8,,,8.4,7.5,,
2067318,8.6,7.75,,,7,7.25,9,,7.75,
2067255,8.6,7,,,8.25,5.25,5.2,,6.5,
2067948,7.8,,,,7.5,4,,,6.5,
2068073,4.4,6,4.5,5.75,,,5.4,7,,
2067819,8.4,7.5,,,6.5,,7.6,,,
2068699,6.8,6.25,,,5.25,3.75,,,6.5,
2067379,6.6,5,,,5.5,3.25,7.8,,5.5,
2067568,5,5,4,6.25,,,,,,
2067072,6.2,6.25,6.75,6.75,,,7,7.5,,
2068257,8.2,8.5,7.75,8.5,,,6.6,9.5,,
2067632,7.6,7,,,7.25,4.75,5.8,,8,
2068573,6.8,6.25,6,8,,,,,,
2068448,6,6,7.5,7,,,5.8,,,
2067508,7.8,6.25,8.5,6.25,,,7.4,9,,
2068383,7,6.25,,,4.75,4.25,5,,8.25,
2068512,5.4,4.5,,,3.25,4.25,2.8,,4.75,
2068636,8.8,7,,,7.75,4.5,8.6,,5,
2068887,2.8,5.5,4.75,6.25,,,5.6,7,,
2067884,8.8,7,,,,,8.4,,,
2068946,7,7,6.75,7.25,,,6.4,8.25,,
2068824,5,7.25,6,5.75,,,4.4,7.5,,
2068197,7.2,5,,,6.5,4.5,3,,6.5,
2067695,9,6,,,8,3.75,4,,9,
2067447,8.6,5.25,,,6.75,4,4,,8.75,
2068322,8.2,4.5,,,8.25,3.25,7.2,,7.25,
2068763,6.8,6.75,6.5,6.5,,,8.6,8.25,,
2067196,7.8,8,8.25,8.25,,,5.8,7.5,,
2069011,7.6,7.25,,,5.5,4.25,6.4,,6,
2067133,7.6,7,,,5.5,6.25,6,,7,
2068007,5.4,6.75,5.5,5.5,,,6.2,8.25,,
2067256,7.6,6.5,,,4.25,3.5,6.2,,5.25,
2068135,7,6.5,7.25,6.5,,,3.2,9.5,,
2067756,5.2,6.5,6.5,6.25,,,5,8.75,,
2067319,7.2,5.5,5.75,5.25,,,8.8,8.5,,
2067820,7.4,8,9.25,6.25,,,,,,
2068074,7.8,7.5,,,4.25,4,5.6,,5,
2067949,4.6,4,4,5.75,,,4.8,6.25,,
2067569,5.2,6.5,3.75,6.25,,,,,,
2067380,6.6,7,6.75,6.25,,,5.8,8.75,,
2068700,6.4,5.5,7.5,6.75,,,6.4,8.75,,
2068574,,,,,,,,,,
2067073,6.6,6.5,6.75,6.75,,,7.2,7.75,,
2068258,5.4,6.5,8,7.75,,,,,,
2067885,,,,,,,,,,
2068384,7,5.25,8,6.25,,,,,,
2067633,8.4,7.5,7.5,8,,,7.4,9.5,,
2068449,5.2,5.5,5,4.5,,,,,,
2068513,6.8,6.5,7.75,7.25,,,,,,
2068637,7.2,6.75,,,4.5,3,3.8,,6.75,
2068888,6.4,6.75,,,5.25,4.5,6.6,,7,
2067509,8.8,5.75,,,6.75,5.75,3.2,,8,
2067448,4.6,4.75,2.75,6,,,2.8,5.25,,
2068323,9.2,6.5,,,7.5,5.25,9.4,,7,
2068198,6.4,5,,,5.25,4.5,5,,6.25,
2068825,4.6,6,2.5,6,,,5.2,7.25,,
2068136,7.4,3.75,,,4,6,4.8,,8,
2067696,7.6,3,,,5.5,4.5,7.8,,8,
2068947,6,7,5.5,5.75,,,6.4,8,,
2067134,5.6,6,5.75,7.75,,,3.6,8.25,,
2068764,,7.5,9.5,8,,,,,,
2067257,7,6,,,6.25,5.25,6.6,,7.25,
2069012,8.2,5.75,,,7.25,4,5.6,,7,
2067320,7,8.25,8,7.25,,,7,8,,
2067197,3.6,6.75,5,5.5,,,1.8,7.75,,
2067757,5.8,5.25,6.5,5.75,,,8.4,7.75,,
2068008,8.8,,,,,7,,,7.25,
2068075,8.8,,,,,7.5,,,8.75,
2067570,5,6.25,,,4.25,3.75,7.8,,4.25,
2067381,6.8,5.25,6.5,6.5,,,3,8,,
2067950,6.2,5.25,,,5.75,3.5,,,4.5,
2067821,7.2,5.25,,,7.75,5,6.2,,8,
2068701,7.6,7,8,8.25,,,4.4,9.25,,
2068575,6.6,6.75,6.25,5.5,,,,,,
2067074,8.6,4.75,,,6.75,4.5,9.2,,7.25,
2068514,6,6.75,8,7.5,,,,,,
2068450,8,,,,7.25,,8.4,,,
2068385,7,6,,,5,4.25,5,,8.25,
2068259,6.8,6.5,6.25,5.75,,,7.2,8,,
2067886,3.8,5.75,3.5,5.5,,,,,,
2067634,8.4,,,,,,8.4,,,
2068889,3.8,4.75,,,,,,,,
2067510,8.4,,,,7,,8,,,
2068638,7.6,6.25,,,6.5,6.25,4.6,,7.25,
2068324,6.4,6.42,7.75,6,,,,,,
2067321,6.4,6.25,,,5.75,3.75,7,,5.5,
2068076,7.2,5.5,7,7.5,,,4.8,8.5,,
2068576,5.6,4.75,4.5,7.5,,,,,,
2068137,5.2,5.5,,,4.75,4.5,,,2.75,
2068948,6.8,7.75,,,7.25,6.5,8.6,,5.5,
2068826,8,5.5,,,6.5,4.75,3.8,,5,
2067198,6,7,5.75,6.75,,,7.8,7.5,,
2068765,,7.5,9.25,8,,,,,,
2068702,4.6,3,,,3.75,2.75,,,3,
2067135,6.2,7.75,6.5,7,,,7.2,7.5,,
2067697,6.4,7.25,5.25,7.5,,,7.8,8,,
2069013,7.4,5.75,,,4.25,4.75,7.8,,7,
2067822,4.6,4,7,7,,,,,,
2067449,6.4,7.25,6.5,7.75,,,7,8.75,,
2067258,8,6.25,,,7,3.25,4.6,,8.25,
2067075,7,6.75,8.5,7,,,5.4,8.5,,
2068199,8,5.5,,,8,3.25,4.2,,8,
2067951,7,6.5,6,7,,,6.8,7,,
2068009,5,6.25,,,6.5,3.75,4.2,,4.25,
2067382,8.2,5.25,7.25,6.75,,,4,8.75,,
2067571,4.8,4.25,3,4.5,,,,,,
2067758,7.4,7.25,,,6.75,7,7.8,,6,
2067511,6.2,7.25,,,6.75,5.75,3,,6.5,
2068451,5.8,5,5.5,6.25,,,,,,
2068890,5,6.25,5.5,6.25,,,4.2,7.5,,
2068515,8.4,6.25,,,8,8,9.2,,6.75,
2068260,3.2,5.75,,,4.25,3.75,3.2,,4.5,
2067635,7.8,8,8.25,7,,,8.4,9.75,,
2067887,6,4.75,5.25,5.75,,,3,,,
2068386,7.8,5.25,,,6.25,5.25,3.4,,8.5,
2068639,5.8,6,,,5.25,3.75,4.2,,4.25,
2068077,8.2,6.25,,,5.25,4.25,7,,6.25,
2067322,8,5,,,6.75,6,6.4,,8.25,
2068200,,,,,,,,,,
2068577,5.6,1.25,6.25,5.5,,,,,,
2067259,6.6,6.25,7.75,5.75,,,4,8,,
2068325,7.2,,,,7.75,,8,,,
2067450,6.8,6.75,,,6.25,3.75,7.6,,4.5,
2068827,7.4,6,,,7,6,8.8,,5.25,
2067823,7,6.25,,,6.5,5,5.6,,6.75,
2067136,7.2,7.75,7,7.5,,,6.4,8.25,,
2069014,7.8,6,,,6.25,5,8,,7.5,
2067199,4.6,7,6.25,6,,,5,7.25,,
2068010,5.6,3,,,4.25,3,5.2,,3.5,
2068138,3.8,3.5,5,5.5,,,5.6,5.75,,
2067952,5.2,5.5,6.75,6.75,,,4.4,8.5,,
2067572,6.8,7,,,5.5,3.25,7.6,,7.25,
2068949,7.4,,,,7.75,,,,7.75,
2067698,7.2,5.75,,,8,4.75,5.2,,6.5,
2067076,7.4,6.5,,,4.5,4,4.4,,8.5,
2067383,7,6.25,,,5.25,3.25,6.2,,5.75,
2067759,6,6.25,,,5.5,4.75,4.4,,5,
2068703,7.4,5,5.75,6,,,4.4,7,,
2068766,7.8,5.75,,,6,6.5,,,4.5,
2067888,9,,,,9,,8.6,,,
2068261,4.8,6.5,5.75,6.25,,,,,,
2068387,8.6,5.75,,,,,9.4,,,
2068516,6.2,6,5.5,7,,,,,,
2068891,6.6,6.75,,,5.75,5.5,,,5.75,
2067512,8,7.75,,,7.75,6,7.4,,6.25,
2067636,6.4,6,8.75,8,,,6.8,9.75,,
2068452,8.4,5.75,,,7.75,4.75,7.2,,8.5,
2068640,7.4,6.5,,,6.5,5.75,8.4,,6,
2068078,6.4,6.75,7,8,,,4.2,8.75,,
2068201,5.4,3.5,,,5,4,,,3.5,
2068326,7.8,5.75,,,6.75,3.5,7,,7.25,
2068828,7.4,7.75,7.25,6.75,,,8.2,8.75,,
2067260,7.6,5.5,,,5.25,2.25,4,,5.25,
2068578,5,6,7.5,6.75,,,,,,
2067323,6.2,6.25,8,7.75,,,6.6,9,,
2067760,6.6,7.75,5.75,8,,,5,8.25,,
2067573,6,6.25,,,6.25,3,7,,5.25,
2067637,4.4,7,,,4.5,4,7,,4.75,
2067137,8,6.5,8.75,8.25,,,6.4,9.25,,
2069015,6.6,6.75,,,5.25,5,5,,6,
2067384,4,6.25,6.25,6,,,8.8,8.75,,
2067451,9,5.25,,,6.25,3,7.2,,4.25,
2067953,4.8,6.75,4.25,7.5,,,5.6,8.5,,
2068517,8,7.75,,,9,6.75,8.8,,6.5,
2067513,7.2,6.75,,,5.75,6.25,,,6,
2067699,6.8,5.25,,,7,5,7.6,,7.25,
2068704,8.2,6.75,8,7.25,,,9.4,9.25,,
2067077,6.4,5,,,6,4.75,9,,5.5,
2067824,7.2,7.5,,,6.5,6,8.2,,7.5,
2067200,6.6,6.5,7,5.5,,,8.6,8,,
2068767,8,,,,,7,,,9.25,
2067889,5.6,5.75,8.5,6.75,,,,,,
2068139,7.2,6.5,,,5.75,4,5.6,,5.75,
2068950,7.2,7.25,5.5,5.25,,,7.4,9.25,,
2068641,8.2,,,,,8.5,,,8,
2068453,8.2,8.25,,,7.75,6.25,8.8,,7.5,
2068388,6.4,5.25,,,5,3.5,5.6,,6.5,
2068011,3.2,5,,,5.25,3.25,3.6,,2.75,
2068892,4.8,5.5,6.75,6,,,5.8,8,,
2068262,4.2,3.25,5.25,6.5,,,,,,
2068079,6.2,6,,,4.25,3.25,6.4,,5.25,
2068202,8.2,7.5,,,7,4.25,7.2,,6,
2067761,7.4,6,6.5,6.5,,,,,,
2068327,7.4,5.25,,,5.5,4.25,4.8,,7.75,
2067324,8.2,6.25,,,6.5,5.25,7.4,,7.5,
2068829,8.4,7.75,,,7.5,7.5,9.2,,8,
2068579,8.2,5.75,,,,,8.2,,,
2067261,6.2,7.25,9,8,,,5.8,8.5,,
2067574,7,6.5,5,4.75,,,7.6,7.75,,
2068454,8,7,,,6.75,4.5,4.6,,6.75,
2067638,7,6.5,6.25,6,,,7,8.5,,
2067078,7,5.75,,,6,5,7.2,,6.5,
2068518,3.6,2.75,5,5.25,,,,,,
2068951,7.2,7.75,7.25,8,,,5.6,8.75,,
2067700,6.4,7.25,8,8,,,,,,
2067890,7.2,6.75,8.25,7.75,,,,,,
2068893,6,6.75,6.75,7.5,,,4.6,7.5,,
2068080,5,5.5,,,4.75,4.25,6.2,,4,
2068642,3.6,4.75,,,5.25,2,,,4,
2068140,,,,,,,,,,
2067825,8.4,,,,,,8.4,,,
2067514,7,5.25,,,5.25,4.5,5.8,,5,
2067201,6.6,5.5,8.25,7.75,,,7,8.5,,
2067954,6.8,5.5,7,7.25,,,2.6,9,,
2067138,6.2,8.25,6.75,7.25,,,5.8,8.75,,
2067452,5.2,6.25,6.75,7.5,,,,,,
2068263,5,6.5,6.25,6.5,,,5,,,
2068012,8.2,5.75,,,7.5,4.25,7.8,,8,
2069016,7,7.25,,,6.25,6,5,,7.25,
2067385,4.8,7,6.5,7,,,7.6,8.5,,
2068768,5.8,8,5.25,6.5,,,3.8,7.75,,
2068705,3.8,4.25,7.75,6.75,,,7,8.25,,
2068203,7.2,7.5,,,8.25,4.25,4.8,,6.25,
2068389,5.2,6.25,7.5,7.25,,,3,,,
2068328,6.8,5.25,,,4.75,3.75,6.6,,7.75,
2067762,7.6,6,6.75,7,,,6,8,,
2068830,7.4,5.5,6,6.5,,,5.8,7.75,,
2067325,6,5.75,7.75,6.75,,,4.4,8,,
2068580,7.8,6.75,8.5,7.75,,,8.6,,,
2067262,8,6.75,,,4.5,4.25,7.4,,6.25,
2067575,6.4,6.5,5,5.25,,,3.4,8,,
2067639,6.2,7.5,6.25,6.75,,,,,,
2068455,6.6,6.25,,,4.75,7,6.2,,8,
2067079,6.6,6.25,3,3.75,,,8,7,,
2068952,5.6,6,7.25,6.5,,,4.2,7.75,,
2068519,9.2,6.5,,,8.25,5.75,7,,6.75,
2067701,5,6.75,7,6.5,,,8,8.5,,
2068141,6.2,5,6.5,6.5,,,3.8,8,,
2068081,5.6,6.25,7.25,6,,,6.4,9.25,,
2067386,3.8,4.75,5.5,4.25,,,4.6,8,,
2068329,5.6,5.25,,,3.75,2.75,7.4,,3.5,
2069017,5,7.5,9,8.25,,,8.4,9,,
2068204,5.8,6.5,,,5.5,3.75,,,4,
2067763,7.8,4.75,5.5,6,,,3.4,8.25,,
2068769,5.8,6.75,5.75,6.5,,,3,8.75,,
2067891,2,4,5.25,5.75,,,,,,
2067202,7.4,7,6.5,7,,,7.8,9,,
2067326,9.4,,,,,,9,,9,
2067515,7.2,6.5,6.25,6.5,,,4.6,8,,
2068643,5.8,3.25,,,4.75,4.25,,,3.75,
2067453,7.6,6.75,,,5.25,5,4.6,,8,
2068013,8.2,7,,,6.5,6.75,,,6.75,
2067826,7.8,7.25,,,6.5,5.25,8,,6.75,
2068264,8.4,7.75,8.75,7.25,,,7,9.5,,
2068390,8,6.5,,,7.5,4,7,,5.25,
2068894,7,5.5,,,6.5,4,3.4,,4.5,
2068706,6.2,6.75,7.5,6.5,,,7.6,9,,
2067139,8.4,6.75,6.5,7,,,8,8,,
2068831,6.2,6,7.25,6.5,,,5.8,8,,
2067955,7,,,,6.25,,,,6.5,
2067640,8,8.5,,,,,8,,,
2067576,8.6,7.5,,,,,5.4,,,
2068581,2.6,3.75,3,4.5,,,,,,
2067080,6.8,6.5,7.5,8,,,5.6,7.75,,
2068456,7.8,6.5,,,6,5.25,6,,7.75,
2067702,5.8,5.75,2.5,5.75,,,,,,
2067263,5,7.25,8.5,6.5,,,6.2,7.75,,
2068520,8,5.5,,,5.25,5.25,3,,6.25,
2067387,7.2,6,,,5.75,5.75,5.2,,6.25,
2068142,4.8,5.75,,,4.75,2,,,3.75,
2068082,7.2,6.25,,,5.5,4,,,4.5,
2068330,6,6,7.75,7,,,,,,
2068770,7.2,7.25,6.25,6.25,,,6.2,8.75,,
2068582,6,6.5,7.5,6.75,,,,,,
2067203,7.2,7,5.75,6.25,,,7.2,7.25,,
2068832,8.4,,,,,6.75,,,8.5,
2068895,5.8,3,,,4.75,4.25,,,6,
2067956,5.6,5.5,7.75,6.75,,,5.4,9,,
2067577,6.2,5.75,,,,,7.4,,,
2067516,7.8,5.25,,,7.25,5.5,7.2,,4.5,
2068265,6.6,6.75,6.75,6,,,,,,
2067454,5.6,5.5,8.5,7.5,,,,,,
2067764,4.6,3.75,5.75,5.25,,,,,,
2068205,7,6,6.25,6,,,6.2,9.25,,
2067327,7,7.5,,,6.5,4.25,6,,7,
2068014,8.2,7,,,5.75,5,6.2,,7,
2068391,7.8,5.75,,,3.5,6.75,4,,6.25,
2068644,4.8,3.5,,,4.75,3.75,,,3.75,
2068457,5.4,7.25,6.75,5.25,,,,,,
2068707,6.2,7.25,5.75,8.25,,,5.2,8.75,,
2067641,7.2,5.5,,,,,6,,,
2067703,7.2,7,7.75,7.25,,,,,,
2067140,7,6.5,6.75,6.5,,,2.8,7.75,,
2067892,2.8,3.5,6.25,5.75,,,,,,
2067827,5,6.75,,,4,4.25,6,,5,
2068521,5.6,5.75,6.25,5.25,,,,,,
2067081,7.4,5.75,,,5.5,5.25,7.6,,7.5,
2067264,7,7,5.25,6.5,,,6,7,,
2069018,5.8,6,7.25,6.25,,,3.6,8.5,,
2067388,5.4,6,6.75,6,,,5.8,8.25,,
2068083,6.6,6.75,,,6.25,3.5,5.4,,7.5,
2068143,4.8,5.25,,,3.25,4,,,2.25,
2067517,7.8,7.25,7.25,5.75,,,7.2,7.75,,
2068331,8.2,6.75,,,6.75,6,9,,5.25,
2068583,2.4,5.5,6,6.25,,,,,,
2068771,7.8,7.5,6.5,5.75,,,7.6,9,,
2068833,5.8,6.25,7,6,,,6.6,8.5,,
2068953,7.6,7.5,,,5.75,6,6.6,,8,
2067765,5,5.25,4.75,5.5,,,,,,
2067204,6.4,8.25,8.25,7.75,,,6.2,8.5,,
2067704,4.4,5.75,6.5,6.25,,,3.8,7,,
2068522,4.8,4.5,6,5.5,,,,,,
2068206,7.2,5.25,,,7.25,6,,,7.25,
2067578,7,6.75,,,5.75,5,5,,7.75,
2067265,7.8,6.75,8.75,7.75,,,7.6,8,,
2067893,5.6,5,6.75,6,,,,,,
2067828,7.2,5.25,,,5.5,8.5,8.8,,8.5,
2067141,7.6,5.25,6,8.25,,,4.8,8.25,,
2067455,6.6,7.25,6.75,6,,,7,9.25,,
2068708,6.2,7.42,6.75,5.25,,,8.6,8.25,,
2067642,6.4,7,,,,,7.4,,,
2068645,5.6,5.5,,,2,2,,,2.75,
2068896,7,6,4,6.25,,,3.8,8,,
2068015,8,6.75,,,8.25,5,9.6,,8,
2068266,5.4,7.25,8.5,7,,,8.6,9.25,,
2067957,7.2,6.25,7.5,6.5,,,7.4,9,,
2069019,4.4,5.5,4.5,4.5,,,3,5.75,,
2067328,7.6,6,6.5,7,,,8.8,9.25,,
2068458,5.8,6.25,,,5.5,3.5,3.2,,4.75,
2068392,7.6,5,,,6.25,5,6.4,,4.75,
2067082,8.6,6.25,,,7.75,5,7.6,,7,
2067389,7.8,6.25,,,6.5,5.5,7,,8,
2068084,8.2,7.25,,,6.75,7,5.2,,8,
2068144,6.2,5.25,6,5,,,6.2,7.75,,
2068332,7.4,6.5,,,,,9.2,,,
2067518,7.4,6,,,7,4.5,8.6,,7.5,
2068584,7,4.75,6.5,6.75,,,,,,
2068834,8.2,6,,,7,4.5,6.6,,7.75,
2068954,5.4,6.75,,,3,4.75,,,4.25,
2068772,6.6,7,7,5.5,,,7,9.25,,
2067766,2.2,1,2.5,2.25,,,2.6,4.25,,
2067205,2.8,5.75,6.5,7.5,,,3.6,8,,
2068523,8,6,,,4.5,3.25,7.8,,8,
2067894,7.2,6.75,7.5,7.25,,,,,,
2068646,5.8,6.75,,,5,5,,,6.75,
2068016,7.6,7.25,3.5,6.25,,,6.6,8.25,,
2067829,5.2,3.75,4.5,5.5,,,,,,
2068393,9.2,,,,8.5,,7.8,,8.25,
2067329,7.6,6.25,,,5.5,4,6.6,,5,
2067266,7,6.75,,,7.25,3.75,4.6,,8.5,
2067390,6.8,7,8,7.75,,,,,,
2067456,5.8,6.67,5.25,5.25,,,5.8,7.75,,
2067705,8.6,,,,,8.25,8.4,,7.75,
2068207,5,4.25,4.5,4.5,,,3.8,6.25,,
2068267,7.2,,,,6.5,,8.4,,,
2067958,8.4,,,,8.75,,,,8.25,
2068085,7,5,5.75,3.75,,,6.2,7.5,,
2068709,6.4,6,6.5,7.25,,,5.6,7.75,,
2067579,,6.5,,,,,5.2,,,
2067643,6.2,7.75,7.25,6.25,,,,,,
2069020,6.4,6.25,5.75,5.75,,,4.4,6.25,,
2067142,3.6,5.75,6.5,5.5,,,2,8.25,,
2067083,7.6,5.75,,,7.5,6.75,7.4,,7.25,
2068897,6.8,6.5,,,7,5.25,8.2,,7,
2068459,6,7.5,,,5.25,4.75,3,,6.5,
2068145,7.4,6.5,8.25,8,,,4.6,9.5,,
2067767,6.8,4.5,,,5.75,4.75,6.6,,5,
2068585,5.2,5.5,4.75,5.25,,,,,,
2068773,6.6,6.75,5.25,6.75,,,4.2,8.25,,
2068835,8.2,6.25,,,8,4.5,7.2,,8.25,
2068333,6.4,5.25,,,4.5,4.5,6.2,,5.5,
2067519,6.6,6,,,4.5,4.5,6.2,,7.75,
2068955,6.4,7.75,6.25,5.75,,,4.8,8.25,,
2067206,7,6.75,7.25,7.25,,,5.8,8,,
2068524,3.6,2.5,4.25,6,,,,,,
2067830,5.2,6,5,6.5,,,,,,
2068647,8,,,,7.75,,,,8.75,
